Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tony Allen,2015-16,34,MEM,NBA,SG,64,57,1620,215,469,.458,15,42,.357,200,427,.468,.474,90,138,.652,104,192,296,70,110,18,78,175,535
Avery Bradley,2015-16,25,BOS,NBA,SG,76,72,2536,456,1019,.447,147,407,.361,309,612,.505,.520,96,123,.780,48,172,220,158,117,19,109,164,1155
Jimmy Butler,2015-16,26,CHI,NBA,SG,67,67,2474,470,1035,.454,64,205,.312,406,830,.489,.485,395,475,.832,79,279,358,321,110,43,132,124,1399
Paul George,2015-16,25,IND,NBA,SF,81,81,2819,605,1449,.418,210,566,.371,395,883,.447,.490,454,528,.860,79,484,563,329,152,29,265,230,1874
Draymond Green,2015-16,25,GSW,NBA,PF,81,81,2808,401,819,.490,100,258,.388,301,561,.537,.551,229,329,.696,134,635,769,598,119,113,259,240,1131
DeAndre Jordan,2015-16,27,LAC,NBA,C,77,77,2598,357,508,.703,0,1,.000,357,507,.704,.703,266,619,.430,267,792,1059,90,51,177,107,207,980
Kawhi Leonard,2015-16,24,SAS,NBA,SF,72,72,2380,551,1090,.506,129,291,.443,422,799,.528,.565,292,334,.874,95,398,493,186,128,71,105,133,1523
Paul Millsap,2015-16,30,ATL,NBA,PF,81,81,2647,501,1066,.470,74,232,.319,427,834,.512,.505,309,408,.757,198,534,732,265,147,139,191,237,1385
Chris Paul,2015-16,30,LAC,NBA,PG,74,74,2420,515,1114,.462,122,329,.371,393,785,.501,.517,294,328,.896,39,271,310,738,152,13,194,185,1446
Hassan Whiteside,2015-16,26,MIA,NBA,C,73,43,2125,413,682,.606,0,0,,413,682,.606,.606,214,329,.650,238,627,865,30,44,269,137,201,1040
